ingredient_id,ingredient,ingredient_map,alcohol_type
737,el silencio mezcal,mezcal,mezcal
738,espadín mezcal,mezcal,mezcal
739,ilegal joven mezcal,mezcal,mezcal
740,ilegal mezcal joven,mezcal,mezcal
741,ilegal reposado mezcal,mezcal,mezcal
742,joven mezcal,mezcal,mezcal
743,madre mezcal,mezcal,mezcal
744,mezcal,mezcal,mezcal
745,mezcal (preferably del maguey chichicapa),mezcal,mezcal
746,mezcal (preferably del maguey san luis del rio),mezcal,mezcal
747,midori,midori,liqueur
748,milk,milk,NULL
749,mint leaves,mint,NULL
750,garnish: mint sprig,mint,NULL
751,garnish: mint sprig skewed through a cucumber slice,mint,NULL
752,garnish: mint sprigs,mint,NULL
753,large mint leaves,mint,NULL
754,mini,mint,NULL
755,mint,mint,NULL
756,mint leaf,mint,NULL
757,mint or microgreen leaf,mint,NULL
758,mint sprig,mint,NULL
759,mint sprigs,mint,NULL
760,mint jelly,mint jelly,NULL
761,12 mint leaves,mint leaves,NULL
762,monin mint syrup,mint simple syrup,NULL
763,mixed berries,mixed berries,NULL
764,bittermens xocolatl mole bitters,mole bitters,NULL
765,kings county moonshine (white corn whiskey),moonshine,grain alcohol
